age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,worker_id,income_x,income_y
55, ?,136819, Bachelors,13, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States,c6795b40-9236-43a4-87fc-61d135fee6f1, <=50K, <=50K
49, Private,83444, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,a647d4da-a0c4-402f-b6e0-a5646c99f5b3, <=50K, <=50K
67, Private,105252, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,2e463bfa-d54b-43e2-899d-b35ff640f86c, >50K, >50K
32, Private,26803, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,84, United-States,1b2d4ad9-bc07-4eb5-9903-c602b3e22540, >50K, >50K
48, Private,146268, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,7688,0,40, United-States,498e9a77-6bdf-4f25-8fb7-cc2e0f9633ed, >50K, >50K
21, Private,143604, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,8, United-States,98d836c2-17d4-4ec1-9e40-3a501eab66c1, <=50K, <=50K
46, State-gov,193047, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,37, United-States,e670108a-abcc-406c-982b-aeafaee4535b, <=50K, <=50K
45, Private,198223, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,1902,45, United-States,63a24734-6c95-43a9-88a1-7e122da849e2, >50K, >50K
29, Private,349154, 10th,6, Separated, Farming-fishing, Unmarried, White, Female,0,0,40, Guatemala,8637ac98-2735-448e-a746-33ba584406bf, <=50K, <=50K
40, Self-emp-not-inc,129298, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, United-States,5f6d1755-3cb6-4464-a817-cf71400c09ad, <=50K, <=50K
49, Private,116789, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,e9864511-5be4-4245-b7cf-1b45dc790aaf, <=50K, <=50K
20, Private,381357, 9th,5, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,28, United-States,428a5239-dd65-4d60-a4d1-8327de86471e, <=50K, <=50K
22, Local-gov,137510, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States,8f9c6a31-b84d-465e-ae5d-fb56a73c03d9, <=50K, <=50K
