age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,worker_id
34, Private,152667, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,35, United-States,dc037cd7-f231-45ca-a6b6-9af61a228c05
24, Self-emp-not-inc,166036, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States,83498c4d-63f5-4f91-9875-345a81662599
62, ?,182687, Some-college,10, Married-civ-spouse, ?, Wife, White, Female,0,0,45, United-States,55eebba5-d57c-4756-b943-4ac41b932600
50, Private,28952, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,0,0,39, United-States,35da9cc2-ea19-4bd5-8fcc-24627cfd4cc7
18, Private,189487, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,35, United-States,5d82856a-b494-41f9-a9db-1532e028fe4c
60, Private,85995, Masters,14, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,50, South,c60c4666-eb0a-4a6d-8982-7d1151f923da
40, Local-gov,101795, HS-grad,9, Never-married, Protective-serv, Not-in-family, White, Male,0,0,42, United-States,3fcd6241-1782-4fb2-8aa4-c9105d06cd63
44, Federal-gov,344060, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,c6325bf5-7cbb-49e3-9913-0b6da2860c6e
74, ?,89667, Bachelors,13, Widowed, ?, Not-in-family, Other, Female,0,0,35, United-States,c231c6bb-03b2-46d8-9cdd-a06fa8310474
44, Self-emp-not-inc,115896, Assoc-voc,11, Widowed, Prof-specialty, Unmarried, White, Female,0,0,40, United-States,109a3ce1-dd89-4923-83b3-eb454def821e
48, Private,48885, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,35, United-States,d3160e96-aabc-4a02-86c2-467da3006d59
59, ?,147989, HS-grad,9, Widowed, ?, Not-in-family, White, Female,0,0,35, United-States,a5272806-f85e-4ebd-88fb-d6b5b1692682
26, Private,104746, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,5013,0,60, United-States,6126136e-297b-485d-833d-6b8ceae5fa5a
41, Private,106679, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Male,27828,0,50, United-States,ca578ae2-d523-47a7-a7ea-9f81a9916216
38, Private,272950, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States,987f0b90-99cf-4d72-ad17-ad5df6d5039a
22, Private,119592, Assoc-acdm,12, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,2824,40, ?,c342b9c7-7ea8-4128-af36-cd63126ffcb0
