age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,worker_id
27, Private,160178, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States,8376f833-9097-4f23-b5da-89a8fec8ddae
45, State-gov,50567, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,3abf3b6e-b9a7-4358-a884-b77f4c763749
29, Private,185908, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,55, United-States,1e8f2af7-16bc-4c9b-9c81-675336a1097a
30, Private,190040, Bachelors,13, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States,85303e43-c51f-48e0-8c85-78dc1f910edd
29, Self-emp-not-inc,189346, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,2202,0,50, United-States,539562a1-054b-4563-844b-ef6e3482714d
51, Private,108435, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,47, United-States,a4d79797-0078-4388-8f67-c558077b568a
58, Self-emp-not-inc,93664, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States,6077e3e3-4e05-48ac-9627-1b7548885587
22, Private,148431, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, United-States,a847de6e-c97f-4e1a-ba08-cd0f07203134
50, Private,313321, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States,6fd128fb-490e-4305-ac74-6e7fdcf09005
50, Private,71417, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,3103,0,40, United-States,573392d4-57da-4515-a5a5-3904ae764480
43, Self-emp-not-inc,241895, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,42, United-States,97f6a4db-18a1-4834-8430-faf61ab8f347
37, Private,271013, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,70ce30e2-0ac8-4c3b-9e33-a4fdda50485b
41, Private,152529, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,e82a7f1e-5d1e-4190-9fdd-fab762d785cd
46, Private,116952, 7th-8th,4, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,45, United-States,535d5363-2cc5-4493-9cae-ebf731348b0f
33, Private,226629, Some-college,10, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, United-States,fbde3b62-6b97-4a4f-9e5a-a20b94531121
45, Private,161819, 11th,7, Separated, Adm-clerical, Unmarried, Black, Female,0,0,25, United-States,1c60b331-c0e1-4388-acba-5e1ef0284fc5
43, Private,99212, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,3103,0,48, United-States,704fc41e-75b2-4b9d-878e-e18b153504a6
52, Self-emp-inc,179951, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,54269316-f68c-4f6e-af17-246a18c84496
38, Federal-gov,115433, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White, Female,7688,0,33, United-States,bc282513-1801-4151-a6c8-3c28150adf9a
32, Self-emp-not-inc,267161, Bachelors,13, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,30, United-States,097676f7-77de-4e17-80ec-6bd66c6495fe
40, Private,439919, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,96727e0d-4ac8-4e51-a420-c4e39868b9b1
31, State-gov,93589, HS-grad,9, Divorced, Protective-serv, Own-child, Other, Male,0,0,40, United-States,5cc1f1dc-c949-4816-83c8-830962a4e56d
51, Private,95329, Masters,14, Divorced, Protective-serv, Unmarried, White, Male,0,0,40, United-States,70f63120-a3f2-4512-ac3e-2fbd377f6d41
23, Private,227594, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States,9714215a-1763-465e-9493-f06a306ee836
29, Private,50295, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States,6d0fef9a-d3c5-40e8-af17-4d02004a7238
32, Local-gov,159187, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States,611c3cc7-2829-490d-be4e-43840552ecce
59, Private,167963, HS-grad,9, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States,6394a3d7-6958-41fa-b67c-08603d48627b
32, Private,237903, Bachelors,13, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States,4bcbf143-f46b-4a8c-8bc9-17186100e5cf
33, Federal-gov,129707, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States,f624917f-6ea8-42ca-82df-c291b46697f5
18, Private,231562, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,33, United-States,74b099cb-001d-4105-ac2f-e7e4da62a6ff
53, Private,195813, 5th-6th,3, Married-civ-spouse, Craft-repair, Husband, Other, Male,5178,0,40, Puerto-Rico,85f43b7f-3ad4-41ae-8c59-d5482b1ede1d
