worker_id,income
8376f833-9097-4f23-b5da-89a8fec8ddae, <=50K
3abf3b6e-b9a7-4358-a884-b77f4c763749, <=50K
1e8f2af7-16bc-4c9b-9c81-675336a1097a, >50K
85303e43-c51f-48e0-8c85-78dc1f910edd, <=50K
539562a1-054b-4563-844b-ef6e3482714d, <=50K
a4d79797-0078-4388-8f67-c558077b568a, >50K
6077e3e3-4e05-48ac-9627-1b7548885587, >50K
a847de6e-c97f-4e1a-ba08-cd0f07203134, <=50K
6fd128fb-490e-4305-ac74-6e7fdcf09005, <=50K
573392d4-57da-4515-a5a5-3904ae764480, >50K
97f6a4db-18a1-4834-8430-faf61ab8f347, <=50K
70ce30e2-0ac8-4c3b-9e33-a4fdda50485b, <=50K
e82a7f1e-5d1e-4190-9fdd-fab762d785cd, >50K
535d5363-2cc5-4493-9cae-ebf731348b0f, <=50K
fbde3b62-6b97-4a4f-9e5a-a20b94531121, <=50K
1c60b331-c0e1-4388-acba-5e1ef0284fc5, <=50K
704fc41e-75b2-4b9d-878e-e18b153504a6, >50K
54269316-f68c-4f6e-af17-246a18c84496, <=50K
bc282513-1801-4151-a6c8-3c28150adf9a, >50K
097676f7-77de-4e17-80ec-6bd66c6495fe, <=50K
96727e0d-4ac8-4e51-a420-c4e39868b9b1, <=50K
5cc1f1dc-c949-4816-83c8-830962a4e56d, <=50K
70f63120-a3f2-4512-ac3e-2fbd377f6d41, <=50K
9714215a-1763-465e-9493-f06a306ee836, <=50K
6d0fef9a-d3c5-40e8-af17-4d02004a7238, <=50K
611c3cc7-2829-490d-be4e-43840552ecce, <=50K
6394a3d7-6958-41fa-b67c-08603d48627b, <=50K
4bcbf143-f46b-4a8c-8bc9-17186100e5cf, <=50K
f624917f-6ea8-42ca-82df-c291b46697f5, <=50K
74b099cb-001d-4105-ac2f-e7e4da62a6ff, <=50K
85f43b7f-3ad4-41ae-8c59-d5482b1ede1d, >50K
11d6cd82-8a64-4993-9bcb-c473a901f123, >50K
a9cce829-e38f-413f-a794-582a6047d0e3, <=50K
e7b351ab-9fb6-42ec-811f-358f9b136154, <=50K
b272cc67-2230-45fa-8a4d-be48f89ddaf5, <=50K
